Date,Open,High,Low,Close,Volume
2018-09-27,7600.34,7657.8,7596.96,7629.57,354098276
2018-09-28,7612.65,7649.3,7598.69,7627.65,400679310
2018-10-01,7673,7700.56,7627.47,7645.45,393660345
2018-10-02,7632.37,7685.36,7610.25,7628.28,412305172
2018-10-03,7663.09,7676.9,7625.6,7637.43,525401724
2018-10-04,7603.01,7608.24,7436.26,7490,564577586
2018-10-05,7482.04,7510.45,7327.44,7399.01,460844828
2018-10-08,7356.54,7415.54,7267.02,7352.82,386144828
2018-10-09,7352.44,7430.36,7339.86,7371.62,423972414
2018-10-10,7319.81,7329.24,7042.06,7044.5,530574138
2018-10-11,7013.48,7120.1,6892.9,6964.03,539532759
2018-10-12,7150.22,7179.04,7019.9,7157.21,456946552
2018-10-15,7129.31,7144.16,7047.47,7068.67,370491379
2018-10-16,7141.67,7291.26,7133.29,7276.43,452293103
2018-10-17,7310,7311.85,7205.76,7278.63,407710345
2018-10-18,7250.93,7251.54,7081.89,7116.09,438956897
2018-10-19,7169.45,7227.96,7080.73,7107.23,436589655
2018-10-22,7146.03,7193.72,7088.9,7141.21,393517241
2018-10-23,7002.69,7149.13,6933.56,7118.67,471693103
2018-10-24,7101.85,7117.34,6777.47,6789.15,505267241
2018-10-25,6891.27,7063.93,6866.75,7016.39,472725862
2018-10-26,6804.69,6976.94,6743.77,6852.4,511168966
2018-10-29,6954.69,6973.19,6574.75,6713.9,463715517
2018-10-30,6673.84,6816.27,6652.53,6810.12,462294828
2018-10-31,6933.11,7030.51,6924.09,6967.1,499953448
2018-11-01,6980.79,7071.84,6932.21,7069.17,467048276
2018-11-02,7042.3,7085.27,6909.07,6965.29,498260345
2018-11-05,6946.15,6952.93,6859.8,6937.09,373529310
2018-11-06,6939.13,7024.78,6928,6988.85,394082759
2018-11-07,7068.5,7205.97,7057.71,7203.13,461643103
2018-11-08,7176.19,7192.32,7125.14,7158.59,424556897
2018-11-09,7095.45,7104.39,6982.89,7039.15,416981034
2018-11-12,6990.37,6998.8,6819.38,6829.1,394667241
2018-11-13,6858.59,6951.44,6811.68,6830.91,404127586
2018-11-14,6896.2,6916.1,6736.18,6769.87,437968966
2018-11-15,6750.63,6908.82,6702.42,6890.45,432537931
2018-11-16,6823.03,6898.13,6797.43,6867.02,420389655
2018-11-19,6832.25,6841.45,6623.37,6642.92,405865517
2018-11-20,6475.68,6614.01,6442.36,6526.96,459474138
2018-11-21,6608.12,6639.37,6566.31,6575.66,320353448
2018-11-23,6525.02,6591.56,6524.55,6527.35,165336207
2018-11-26,6616.79,6679.91,6590.89,6678.34,346755172
2018-11-27,6639.39,6715.41,6609.08,6701.04,356441379
2018-11-28,6759.05,6913.33,6713.42,6913.33,412113793
2018-11-29,6890.84,6938,6839.88,6892.4,341975862
2018-11-30,6902.24,6951.13,6872.29,6949.01,438417241
2018-12-03,7106.84,7107,7013.2,7062.13,451900000
2018-12-04,7026.81,7045.68,6785.85,6795.21,452725862
2018-12-06,6652.13,6840.5,6630.82,6838.85,488598276
2018-12-07,6806.63,6849.38,6594.54,6613.28,426751724
2018-12-10,6603.36,6710.4,6534.33,6682.74,408200000
2018-12-11,6782.41,6788.47,6650.83,6704.24,387251724
2018-12-12,6800.55,6867.66,6761.78,6763.96,415913793
2018-12-13,6805.7,6833.79,6724.04,6767.97,369572414
2018-12-14,6679.91,6710.41,6585.31,6594.96,379398276
2018-12-17,6571,6621.63,6399.55,6448.39,459524138
2018-12-18,6503.12,6551.04,6434.6,6491.52,445758621
2018-12-19,6480.31,6575.39,6284.72,6342.97,499991379
2018-12-20,6312.72,6380.97,6161.86,6243.2,561739655
2018-12-21,6293.06,6308.31,6013.98,6046.56,781744828
2018-12-24,5994.08,6075.17,5895.12,5899.35,284012069
2018-12-26,5969.07,6263.82,5921.86,6262.77,441024138
2018-12-27,6168.6,6291.99,6043.45,6288.3,416529310
